CY2024 Elect,,,,,,,,,,,,,,,,,,,,,,
BUILDING NAME,ECMC ,RPC,TRCC,E1,E2,E3 (incl Agora Library),E4,E5,E6,W1,W2,W3,"W4, Agora Hall",W5,W6,Sports Complex ,The Arch (1&2),Green House,Blk 43,RPIC,XLC,ALC
January," 462,871.00 "," 56,999.00 "," 68,134.00 "," 106,671.00 "," 35,485.00 "," 59,736.00 "," 59,561.00 "," 75,432.00 "," 31,362.00 "," 31,534.00 "," 69,740.00 "," 41,510.00 "," 81,761.00 "," 46,021.00 "," 54,382.00 "," 61,506.00 "," 22,656.00 "," 9,577.00 "," 137,564.00 "," 43,467.00 "," 1,401.00 ", 603.00 
February," 449,967.00 "," 52,535.00 "," 74,824.00 "," 95,093.00 "," 29,709.00 "," 57,444.00 "," 53,512.00 "," 69,966.00 "," 28,079.00 "," 28,039.00 "," 66,465.00 "," 36,954.00 "," 72,867.00 "," 47,606.00 "," 46,806.00 "," 56,786.00 "," 19,153.00 "," 11,713.00 "," 133,434.00 "," 51,394.00 ", 755.00 , 562.00 
March," 407,459.00 "," 54,778.00 "," 75,158.00 "," 94,464.00 "," 25,296.00 "," 50,618.00 "," 51,341.00 "," 69,204.00 "," 22,544.00 "," 25,205.00 "," 68,173.00 "," 34,576.00 "," 65,679.00 "," 46,256.00 "," 36,624.00 "," 50,921.00 "," 22,481.00 "," 12,545.00 "," 147,015.00 "," 48,728.00 "," 1,096.00 ", 625.00 
April," 545,707.00 "," 59,655.00 "," 87,359.00 "," 106,431.00 "," 33,337.00 "," 59,635.00 "," 59,920.00 "," 75,248.00 "," 29,657.00 "," 30,644.00 "," 72,751.00 "," 42,270.00 "," 81,395.00 "," 54,437.00 "," 52,775.00 "," 62,275.00 "," 23,913.00 "," 12,566.00 "," 140,046.00 "," 47,949.00 "," 1,004.00 ", 636.00 
May," 565,550.00 "," 59,051.00 "," 92,516.00 "," 109,194.00 "," 33,754.00 "," 61,428.00 "," 60,953.00 "," 73,672.00 "," 34,353.00 "," 31,351.00 "," 72,789.00 "," 48,498.00 "," 89,470.00 "," 56,833.00 "," 62,867.00 "," 63,149.00 "," 25,677.00 "," 11,875.00 "," 150,095.00 "," 52,472.00 "," 1,193.00 ", 604.00 
June," 428,747.00 "," 52,216.00 "," 80,928.00 "," 96,367.00 "," 25,720.00 "," 52,744.00 "," 54,496.00 "," 67,750.00 "," 25,600.00 "," 24,219.00 "," 67,337.00 "," 37,237.00 "," 68,921.00 "," 46,503.00 "," 44,823.00 "," 54,195.00 "," 20,485.00 "," 9,074.00 "," 145,412.00 "," 49,979.00 ", 646.00 , 588.00 
July," 565,024.00 "," 62,648.00 "," 88,811.00 "," 115,912.00 "," 35,690.00 "," 64,838.00 "," 61,988.00 "," 75,655.00 "," 34,587.00 "," 37,557.00 "," 82,370.00 "," 48,516.00 "," 93,744.00 "," 57,422.00 "," 66,734.00 "," 64,743.00 "," 26,344.00 "," 10,022.00 "," 150,524.00 "," 52,583.00 "," 1,197.00 ", 538.00 
August," 493,996.00 "," 57,889.00 "," 81,203.00 "," 109,923.00 "," 28,918.00 "," 61,176.00 "," 59,458.00 "," 72,113.00 "," 29,626.00 "," 29,524.00 "," 69,345.00 "," 40,865.00 "," 83,856.00 "," 53,681.00 "," 53,562.00 "," 52,200.00 "," 22,037.00 "," 10,394.00 "," 146,787.00 "," 48,787.00 ", 932.00 , 511.00 
September," 406,172.00 "," 51,831.00 "," 80,843.00 "," 92,104.00 "," 23,978.00 "," 51,038.00 "," 53,274.00 "," 61,284.00 "," 22,096.00 "," 23,230.00 "," 63,733.00 "," 31,353.00 "," 62,258.00 "," 43,896.00 "," 40,082.00 "," 51,943.00 "," 19,593.00 "," 10,173.00 "," 131,423.00 "," 45,961.00 ", 892.00 , 473.00 
October," 453,847.00 "," 56,237.00 "," 97,568.00 "," 104,274.00 "," 31,016.00 "," 58,076.00 "," 63,576.00 "," 65,523.00 "," 28,169.00 "," 30,164.00 "," 78,054.00 "," 41,273.00 "," 82,259.00 "," 55,629.00 "," 54,504.00 "," 58,946.00 "," 23,509.00 "," 13,729.00 "," 134,031.00 "," 48,376.00 ", 993.00 , 532.00 
