,Water,,,
,Month,Cu3 (Portable Water),Cu3 (NEWater),Cu3 (Total)
2024,Jan-24,"9,387.4","2,809.4","12,196.8"
,Feb-24,"8,697.5","5,057.5","13,755.0"
,Mar-24,"7,831.7","4,168.9","12,000.6"
,Apr-24,"9,334.0","7,953.0","17,287.0"
,May-24,"-3,086.0","6,160.4","3,074.4"
,Jun-24,"2,893.1","5,582.9","8,476.0"
,Jul-24,"6,668.1","5,532.4","12,200.5"
,Aug-24,"7,120.8","6,435.2","13,556.0"
,Sep-24,"2,572.2","5,694.4","8,266.6"
,Oct-24,"4,478.4","5,685.8","10,164.2"
,Nov-24,"7,065.7","4,677.7","11,743.4"
,Dec-24,"2,912.0","5,354.4","8,266.4"
2025,Jan-25,"6,038.4","3,458.9","9,497.3"
,Feb-25,"6,754.0","4,406.7","11,160.7"
,Mar-25,"1,229.9","4,712.4","5,942.3"
,Apr-25,"4,099.2","4,791.4","8,890.6"
,May-25,"5,425.9","6,037.0","11,462.9"
,Jun-25,"2,816.3","5,239.5","8,055.8"
,Jul-25,"7,707.3","6,700.9","14,408.2"
,Aug-25,"6,034.9","5,585.1","11,620.0"
