,Solar,,,
,Month,Urban Renewables,Green House (KWh),Total Solar Energy
2024,Jan-24,"80,484.38","2,332.84","82,817.2"
,Feb-24,"93,228.96","2,691.76","95,920.7"
,Mar-24,"104,270.16 ","2,992.70","107,262.9"
,Apr-24,"84,001.85","2,585.83","86,587.7"
,May-24,"72,025.00","2,204.16","74,229.2"
,Jun-24,"75,250.19","2,282.59","77,532.8"
,Jul-24,"98,728.71","2,925.17","101,653.9"
,Aug-24,"95,418.72","2,910.49","98,329.2"
,Sep-24,"97,554.42","2,632.77","100,187.2"
,Oct-24,"89,054.45",389.37,"89,443.8"
,Nov-24,"71,433.22 ","2,310.53","73,743.8"
,Dec-24,"83,470.70","2,588.05","86,058.8"
2025,Jan-25,"64,929.97","2,009.12","66,939.1"
,Feb-25,"91,599.06","2,432.90","94,032.0"
,Mar-25,"87,040.80","1,431.37","88,472.2"
,Apr-25,"91,938.36","2,652.97","94,591.3"
,May-25,"93,780.37","2,844.53","96,624.9"
,Jun-25,"91,181.45","1,984.07","93,165.5"
,Jul-25,"93,725.89","1,761.42","95,487.3"
,Aug-25,,,0.0
